POZO;LONGITUD;LATITUD;X;Y;ESTADO;CABEZAL;CONTRAPOZO;CERRAMIENTO;DISPOSITIVO DE SEGURIDAD;SEÑALÉTICA;RADIO DE AMORTIGUAMIENTO;CONTAMINACION;H2S;O2;CO;LEL
ANC0012;-8.085.416.143;-2.321.108;515964;9743343;Abandonado;NO;SI;NO;NO;NO;SI;SI;0;0;0;5%
ANC0017;-8.085.448.492;-2.320.429;516340;9743418;Abandonado;SI;SI;SI;SI;INCOMPLETA;SI;NO;0;0;0;0%
ANC0020;-808.564.812;-23.273.120;515957;9742759.9;Abandonado; SI ;SI;SI;SI;SI;NO;NO;0;0;0;0%
ANC0023A;-808.589.355;-23.256.856;515684.1;9742939.7;Abandonado;NO;SI;NO;NO;NO;SI;SI;0;0;0;0%
ANC0025;-808.556.065;-23.282.765;516054.2;9742653.2;Abandonado;NO;NO;NO;NO;NO;SI;SI;0;0;0;0%
ANC0027;-808.537.504;-23.292.255;516260.6;9742548.3;Abandonado;SI;SI;NO;NO;NO;NO;SI;0;0;0;0%
ANC0029;-808.565.141;-23.301.153;515953.3;9742450;Abandonado;NO;NO;SI;NO;SI;NO;SI;0;0;0;0%
ANC0030;-808.515.795;-23.271.519;516502;9742777.5;Abandonado;NO;SI;NO;NO;SI;NO;SI;0;0;0;0%
ANC0032;-80.851.834;-23.287.873;516473.7;9742596.7;Abandonado;NO;NO;NO;NO;SI;NO;SI;0;0;0;0%
ANC0036;-808.518.936;-23.263.713;516467.1;9742863.8;Abandonado;NO;SI;SI;SI;SI;SI;NO;0;0;0;0%
ANC0038;-808.547.452;-23.310.717;516150;9742344.3;Abandonado;NO;NO;SI;SI;NO;SI;SI;0;0;0;0%
ANC0039;-808.515.523;-23.255.532;516505;9742954.2;Abandonado;NO;SI;NO;NO;SI;SI;NO;0;0;0;0%
ANC004;-8.085.319.021;-2.319.842;0516069;9743483;Abandonado;SI;SI;SI;SI;SI;SI;NO;0;0;0;0%
ANC0043;-808.509.224;-23.216.974;516575.1;9743380.4;Abandonado;NO;SI;NO;NO;NO;NO;SI;0;0;0;0%
ANC0048;-808.497.536;-23.255.345;516705;9742956.3;Abandonado;NO;SI;NO;NO;SI;NO;NO;0;0;0;0%
ANC0049;-808.496.435;-23.218.702;516717.3;9743361.3;Abandonado;NO;SI;NO;NO;NO;SI;NO;0;0;0;0%
ANC0051;-808.552.575;-23.289.702;516093;9742576.6;Abandonado;NO;SI;NO;NO;NO;SI;NO;0;0;0;0%
ANC0052;-808.538.523;-23.305.568;516249.2;9742401.2;Abandonado;NO;NO;NO;NO;NO;NO;NO;0;0;0;0%
ANC0053;-808.510.762;-23.258.494;516557.9;9742921.5;Abandonado;NO;NO;NO;NO;NO;SI;NO;0;0;0;0%
ANC0056;-808.529.535;-23.289.786;516349.2;9742575.6;Abandonado;SI;SI;SI;SI;SI;NO;SI;0;0;0;0%
ANC0059;-808.525.404;-23.297.622;516395.1;9742489;Abandonado;NO;NO;SI;SI;NO;SI;NO;0;0;0;0%
ANC0065;-808.528.381;-233.153.933;516362;9742292.6;Abandonado;NO;SI;NO;NO;SI;SI;SI;0;0;0;0%
ANC0074;-808.575.712;-23.263.492;515835.8;9742866.3;Abandonado;NO;SI;NO;NO;NO;SI;S;0;0;0;0%
ANC0105;-8.085.157.989;-232.123.061;0516252;9743071;Abandonado;SI;SI;NO;NO;NO;NO;NO;0;0;0;0%
ANC01-2;-8.085.157.989;-2.325.377;0515052;9742871;Abandonado;SI;SI;NO;NO;NO;SI;SI;0;0;0;HHH
ANC01228;-8.085.731.836;-2.320.946;0515613;9743361;aBandonado;NO;SI;NO;NO;NO;SI;SI;0;1;0;HHH
ANC01230;-8.085.714.768;-2.318.811;0515633;9743597;Abandonado;SI;SI;NO;NO;NO;SI;SI;0;0;0;4%
ANC01874;-8.085.714.758;-2.311.105;0516558;9744449;Abandonado;NO;SI;NO;NO;NO;SI;NO;0;0;0;0%
ANC0342;-808.496.228;-23.249.375;516719.6;9743022.2;Abandonado;NO;NO;NO;NO;NO;NO;NO;0;0;0;0%
ANC0348;-808.469.899;-23.247.355;517015;9743100,0;Abandonado;NO;NO;SI;NO;SI;NO;NO;0;0;0;0%
ANC0353;-808.481.600;-232.207.178;51691;9743195;Abandonado;NO;NO;SI;SI;NO;NO;NO;0;0;0;0%
